Centro,Tipologia,Id encuesta,Total Encuestas,Total Completas,Total Parciales,Nuevas Completas Hoy,Nuevas Parciales Hoy,Nuevas Completas D-1,Nuevas Parciales D-1,Nuevas Completas D-2,Nuevas Parciales D-2,Nuevas Completas D-3,Nuevas Parciales D-3,Nuevas Completas D-4,Nuevas Parciales D-4,Nuevas Completas D-5,Nuevas Parciales D-5,Nuevas Completas D-6,Nuevas Parciales D-6,Nuevas Completas D-7,Nuevas Parciales D-7,Nuevas Completas D-8,Nuevas Parciales D-8,Nuevas Completas D-9,Nuevas Parciales D-9
CEIP VIRGEN DE CRIPTANA,Profesorado,535274,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
CEIP LOPE DE VEGA,Primaria,479792,155,124,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,31
CEIP LOPE DE VEGA,Secundaria,695956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEIP LOPE DE VEGA,Profesorado,344548,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
IES SIETE COLINAS ,Primaria,592522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IES SIETE COLINAS ,Secundaria,417864,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
IES SIETE COLINAS ,Profesorado,825947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IES ABYLA,Primaria,811243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IES ABYLA,Secundaria,168262,292,211,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,81
IES ABYLA,Profesorado,267866,20,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8
COLEGIO INTERNACIONAL KOLBE,Primaria,514679,112,70,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,41
